objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
coll001,Books Listed on Pango.xslx,,,Spreadsheet of Used Books for Sale,Kathryn Murphy,1910-10-14,"Photographic postcard of the University of Idaho administration building in Moscow, Idaho.",universities;buildings;campuses;picture postcards,"Moscow, Idaho",46.725562,-117.009633,"PG 9, Postcard Collection, University of Idaho Library Special Collections and Archives",pg_9_12_01bl,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll002,Recommended Books by Genre.xslx,,,Spreadsheet of Recommended Books by Genre,Kathryn Murphy,2026,"A Spreadsheet of books I have read and would recommend, organized by genre",books; recommendation,"Chapel Hill, North Carolina",,,,,spreadsheet,spreadsheet/xlsx,eng,,http://rightsstatements.org/vocab/NoC-US/1.0/
coll003,Short book recommendations.docx,,,A List of Short books I would Recommend,Kathryn Murphy,2024,A word document of shorter books I would Recommend ,books; recommendation,"Chapel Hill, North Carolina",,,,,word document,document/docx,eng,,http://rightsstatements.org/vocab/NoC-US/1.0/
coll004,librarycheckouts,,,Photo of Library Books,Kathryn Murphy,2025-05-16,"A photo of a small stack of library books including Huda F Wants to Know, Sunrise on the Reaping, Finlay Donoban Digs Her Own Grave, and Woodworking",books; library,"Chapel Hill, North Carolina",,,,,Image;StillImage,image/jpeg,eng,,http://rightsstatements.org/vocab/NoC-US/1.0/
coll005,favebooks2023,,,Image of Favorite Reads of 2023,Kathryn Murphy,2023-12-31,A graphic with books covers and text stating the book covers represent my favorite books read in 2023,books,"Chapel Hill, North Carolina",,,,,Image;StillImage,image/jpeg,eng,,http://rightsstatements.org/vocab/NoC-US/1.0/
coll006,librarystack,,,Tall Stack of returned Library Books,Kathryn Murphy,2025-01-05,A photo of a very tall stack of returned books at the library,books; library,"Apex, North Carolina",,,,,Image;StillImage,image/jpeg,eng,,http://rightsstatements.org/vocab/NoC-US/1.0/
coll007,readingjournal,,,A Photo of my Reading Journal,Kathryn Murphy,2024-01-03,"A photo of a journal open on a wood table with paper crafting materials such as washi tape, glue sticks, tape runner, scrapbook papers, and printed book covers surrounding it","books, journal","Jacksonville, FL",,,,,Image;StillImage,image/jpeg,eng,,http://rightsstatements.org/vocab/NoC-US/1.0/
coll008,recommendationshelf,,,My Recommendation Shelf at my Library,Kathryn Murphy,2025-01-15,A photo of books recommended by my at my library,books; library,"Apex, North Carolina",,,,,Image;StillImage,image/jpeg,eng,,http://rightsstatements.org/vocab/NoC-US/1.0/
coll009,scifishelf,,,My Science Fiction Shelf,Kathryn Murphy,2025-1-10,A photo of several science fiction books in my personal library,books,"Chapel Hill, North Carolina",,,,,Image;StillImage,image/jpeg,eng,,http://rightsstatements.org/vocab/NoC-US/1.0/
coll010,doriandbooks,,,My Dog Dori posing with Books,Kathryn Murphy,2023-12-22,"A photo of a small stack of graphic novels with a white, brown and black dog posing next to the books",books; dogs; pets,"Chapel Hill, North Carolina",,,,,Image;StillImage,image/jpeg,eng,,http://rightsstatements.org/vocab/NoC-US/1.0/
coll011,,,,,,,,,,,,,,,,,,
coll012,,,,,,,,,,,,,,,,,,
coll013,,,,,,,,,,,,,,,,,,